inf	gerund	parti	presente__1_sing	presente__2_sing_tu	presente__2_sing_usted	presente__3_sing	presente__1_plur	presente__2_plur_vosotros	presente__2_plur_ustedes	presente__3_plur	preterito_imp__1_sing	preterito_imp__2_sing_tu	preterito_imp__2_sing_usted	preterito_imp__3_sing	preterito_imp__1_plur	preterito_imp__2_plur_vosotros	preterito_imp__2_plur_ustedes	preterito_imp__3_plur	presente_perf__1_sing	presente_perf__2_sing_tu	presente_perf__2_sing_usted	presente_perf__3_sing	presente_perf__1_plur	presente_perf__2_plur_vosotros	presente_perf__2_plur_ustedes	presente_perf__3_plur	futuro_imp__1_sing	futuro_imp__2_sing_tu	futuro_imp__2_sing_usted	futuro_imp__3_sing	futuro_imp__1_plur	futuro_imp__2_plur_vosotros	futuro_imp__2_plur_ustedes	futuro_imp__3_plur	cond_simp__1_sing	cond_simp__2_sing_tu	cond_simp__2_sing_usted	cond_simp__3_sing	cond_simp__1_plur	cond_simp__2_plur_vosotros	cond_simp__2_plur_ustedes	cond_simp__3_plur	
mantener	manteniendo	mantenido	mantengo	mantienes/mantenés	mantiene	mantiene	mantenemos	mantenéis	mantienen	mantienen	mantenía	mantenías	mantenía	mantenía	manteníamos	manteníais	mantenían	mantenían	mantuve	mantuviste	mantuvo	mantuvo	mantuvimos	mantuvisteis	mantuvieron	mantuvieron	mantendré	mantendrás	mantendrá	mantendrá	mantendremos	mantendréis	mantendrán	mantendrán	mantendría	mantendrías	mantendría	mantendría	mantendríamos	mantendríais	mantendrían	mantendrían	
matar	matando	matado	mato	matas/matás	mata	mata	matamos	matáis	matan	matan	mataba	matabas	mataba	mataba	matábamos	matabais	mataban	mataban	maté	mataste	mató	mató	matamos	matasteis	mataron	mataron	mataré	matarás	matará	matará	mataremos	mataréis	matarán	matarán	mataría	matarías	mataría	mataría	mataríamos	mataríais	matarían	matarían	
medir	midiendo	medido	mido	mides/medís	mide	mide	medimos	medís	miden	miden	medía	medías	medía	medía	medíamos	medíais	medían	medían	medí	mediste	midió	midió	medimos	medisteis	midieron	midieron	mediré	medirás	medirá	medirá	mediremos	mediréis	medirán	medirán	mediría	medirías	mediría	mediría	mediríamos	mediríais	medirían	medirían	
mejorar	mejorando	mejorado	mejoro	mejoras/mejorás	mejora	mejora	mejoramos	mejoráis	mejoran	mejoran	mejoraba	mejorabas	mejoraba	mejoraba	mejorábamos	mejorabais	mejoraban	mejoraban	mejoré	mejoraste	mejoró	mejoró	mejoramos	mejorasteis	mejoraron	mejoraron	mejoraré	mejorarás	mejorará	mejorará	mejoraremos	mejoraréis	mejorarán	mejorarán	mejoraría	mejorarías	mejoraría	mejoraría	mejoraríamos	mejoraríais	mejorarían	mejorarían	
mencionar	mencionando	mencionado	menciono	mencionas/mencionás	menciona	menciona	mencionamos	mencionáis	mencionan	mencionan	mencionaba	mencionabas	mencionaba	mencionaba	mencionábamos	mencionabais	mencionaban	mencionaban	mencioné	mencionaste	mencionó	mencionó	mencionamos	mencionasteis	mencionaron	mencionaron	mencionaré	mencionarás	mencionará	mencionará	mencionaremos	mencionaréis	mencionarán	mencionarán	mencionaría	mencionarías	mencionaría	mencionaría	mencionaríamos	mencionaríais	mencionarían	mencionarían	
mirar	mirando	mirado	miro	miras/mirás	mira	mira	miramos	miráis	miran	miran	miraba	mirabas	miraba	miraba	mirábamos	mirabais	miraban	miraban	miré	miraste	miró	miró	miramos	mirasteis	miraron	miraron	miraré	mirarás	mirará	mirará	miraremos	miraréis	mirarán	mirarán	miraría	mirarías	miraría	miraría	miraríamos	miraríais	mirarían	mirarían	
modificar	modificando	modificado	modifico	modificas/modificás	modifica	modifica	modificamos	modificáis	modifican	modifican	modificaba	modificabas	modificaba	modificaba	modificábamos	modificabais	modificaban	modificaban	modifiqué	modificaste	modificó	modificó	modificamos	modificasteis	modificaron	modificaron	modificaré	modificarás	modificará	modificará	modificaremos	modificaréis	modificarán	modificarán	modificaría	modificarías	modificaría	modificaría	modificaríamos	modificaríais	modificarían	modificarían	
morir	muriendo	muerto	muero	mueres/morís	muere	muere	morimos	morís	mueren	mueren	moría	morías	moría	moría	moríamos	moríais	morían	morían	morí	moriste	murió	murió	morimos	moristeis	murieron	murieron	moriré	morirás	morirá	morirá	moriremos	moriréis	morirán	morirán	moriría	morirías	moriría	moriría	moriríamos	moriríais	morirían	morirían	
mostrar	mostrando	mostrado	muestro	muestras/mostrás	muestra	muestra	mostramos	mostráis	muestran	muestran	mostraba	mostrabas	mostraba	mostraba	mostrábamos	mostrabais	mostraban	mostraban	mostré	mostraste	mostró	mostró	mostramos	mostrasteis	mostraron	mostraron	mostraré	mostrarás	mostrará	mostrará	mostraremos	mostraréis	mostrarán	mostrarán	mostraría	mostrarías	mostraría	mostraría	mostraríamos	mostraríais	mostrarían	mostrarían	
mover	moviendo	movido	muevo	mueves/movés	mueve	mueve	movemos	movéis	mueven	mueven	movía	movías	movía	movía	movíamos	movíais	movían	movían	moví	moviste	movió	movió	movimos	movisteis	movieron	movieron	moveré	moverás	moverá	moverá	moveremos	moveréis	moverán	moverán	movería	moverías	movería	movería	moveríamos	moveríais	moverían	moverían	
necesitar	necesitando	necesitado	necesito	necesitas/necesitás	necesita	necesita	necesitamos	necesitáis	necesitan	necesitan	necesitaba	necesitabas	necesitaba	necesitaba	necesitábamos	necesitabais	necesitaban	necesitaban	necesité	necesitaste	necesitó	necesitó	necesitamos	necesitasteis	necesitaron	necesitaron	necesitaré	necesitarás	necesitará	necesitará	necesitaremos	necesitaréis	necesitarán	necesitarán	necesitaría	necesitarías	necesitaría	necesitaría	necesitaríamos	necesitaríais	necesitarían	necesitarían	
observar	observando	observado	observo	observas/observás	observa	observa	observamos	observáis	observan	observan	observaba	observabas	observaba	observaba	observábamos	observabais	observaban	observaban	observé	observaste	observó	observó	observamos	observasteis	observaron	observaron	observaré	observarás	observará	observará	observaremos	observaréis	observarán	observarán	observaría	observarías	observaría	observaría	observaríamos	observaríais	observarían	observarían	
obtener	obteniendo	obtenido	obtengo	obtienes/obtenés	obtiene	obtiene	obtenemos	obtenéis	obtienen	obtienen	obtenía	obtenías	obtenía	obtenía	obteníamos	obteníais	obtenían	obtenían	obtuve	obtuviste	obtuvo	obtuvo	obtuvimos	obtuvisteis	obtuvieron	obtuvieron	obtendré	obtendrás	obtendrá	obtendrá	obtendremos	obtendréis	obtendrán	obtendrán	obtendría	obtendrías	obtendría	obtendría	obtendríamos	obtendríais	obtendrían	obtendrían	
ocurrir	ocurriendo	ocurrido	ocurro	ocurres/ocurrís	ocurre	ocurre	ocurrimos	ocurrís	ocurren	ocurren	ocurría	ocurrías	ocurría	ocurría	ocurríamos	ocurríais	ocurrían	ocurrían	ocurrí	ocurriste	ocurrió	ocurrió	ocurrimos	ocurristeis	ocurrieron	ocurrieron	ocurriré	ocurrirás	ocurrirá	ocurrirá	ocurriremos	ocurriréis	ocurrirán	ocurrirán	ocurriría	ocurrirías	ocurriría	ocurriría	ocurriríamos	ocurriríais	ocurrirían	ocurrirían	
ofrecer	ofreciendo	ofrecido	ofrezco	ofreces/ofrecés	ofrece	ofrece	ofrecemos	ofrecéis	ofrecen	ofrecen	ofrecía	ofrecías	ofrecía	ofrecía	ofrecíamos	ofrecíais	ofrecían	ofrecían	ofrecí	ofreciste	ofreció	ofreció	ofrecimos	ofrecisteis	ofrecieron	ofrecieron	ofreceré	ofrecerás	ofrecerá	ofrecerá	ofreceremos	ofreceréis	ofrecerán	ofrecerán	ofrecería	ofrecerías	ofrecería	ofrecería	ofreceríamos	ofreceríais	ofrecerían	ofrecerían	
olvidar	olvidando	olvidado	olvido	olvidas/olvidás	olvida	olvida	olvidamos	olvidáis	olvidan	olvidan	olvidaba	olvidabas	olvidaba	olvidaba	olvidábamos	olvidabais	olvidaban	olvidaban	olvidé	olvidaste	olvidó	olvidó	olvidamos	olvidasteis	olvidaron	olvidaron	olvidaré	olvidarás	olvidará	olvidará	olvidaremos	olvidaréis	olvidarán	olvidarán	olvidaría	olvidarías	olvidaría	olvidaría	olvidaríamos	olvidaríais	olvidarían	olvidarían	
operar	operando	operado	opero	operas/operás	opera	opera	operamos	operáis	operan	operan	operaba	operabas	operaba	operaba	operábamos	operabais	operaban	operaban	operé	operaste	operó	operó	operamos	operasteis	operaron	operaron	operaré	operarás	operará	operará	operaremos	operaréis	operarán	operarán	operaría	operarías	operaría	operaría	operaríamos	operaríais	operarían	operarían	
organizar	organizando	organizado	organizo	organizas/organizás	organiza	organiza	organizamos	organizáis	organizan	organizan	organizaba	organizabas	organizaba	organizaba	organizábamos	organizabais	organizaban	organizaban	organicé	organizaste	organizó	organizó	organizamos	organizasteis	organizaron	organizaron	organizaré	organizarás	organizará	organizará	organizaremos	organizaréis	organizarán	organizarán	organizaría	organizarías	organizaría	organizaría	organizaríamos	organizaríais	organizarían	organizarían	
oír	oyendo	oído	oigo	oyes/oís	oye	oye	oímos	oís	oyen	oyen	oía	oías	oía	oía	oíamos	oíais	oían	oían	oí	oíste	oyó	oyó	oímos	oísteis	oyeron	oyeron	oiré	oirás	oirá	oirá	oiremos	oiréis	oirán	oirán	oiría	oirías	oiría	oiría	oiríamos	oiríais	oirían	oirían	
pagar	pagando	pagado,pago	pago	pagas/pagás	paga	paga	pagamos	pagáis	pagan	pagan	pagaba	pagabas	pagaba	pagaba	pagábamos	pagabais	pagaban	pagaban	pagué	pagaste	pagó	pagó	pagamos	pagasteis	pagaron	pagaron	pagaré	pagarás	pagará	pagará	pagaremos	pagaréis	pagarán	pagarán	pagaría	pagarías	pagaría	pagaría	pagaríamos	pagaríais	pagarían	pagarían	
parar	parando	parado	paro	paras/parás	para	para	paramos	paráis	paran	paran	paraba	parabas	paraba	paraba	parábamos	parabais	paraban	paraban	paré	paraste	paró	paró	paramos	parasteis	pararon	pararon	pararé	pararás	parará	parará	pararemos	pararéis	pararán	pararán	pararía	pararías	pararía	pararía	pararíamos	pararíais	pararían	pararían	
parecer	pareciendo	parecido	parezco	pareces/parecés	parece	parece	parecemos	parecéis	parecen	parecen	parecía	parecías	parecía	parecía	parecíamos	parecíais	parecían	parecían	parecí	pareciste	pareció	pareció	parecimos	parecisteis	parecieron	parecieron	pareceré	parecerás	parecerá	parecerá	pareceremos	pareceréis	parecerán	parecerán	parecería	parecerías	parecería	parecería	pareceríamos	pareceríais	parecerían	parecerían	
participar	participando	participado	participo	participas/participás	participa	participa	participamos	participáis	participan	participan	participaba	participabas	participaba	participaba	participábamos	participabais	participaban	participaban	participé	participaste	participó	participó	participamos	participasteis	participaron	participaron	participaré	participarás	participará	participará	participaremos	participaréis	participarán	participarán	participaría	participarías	participaría	participaría	participaríamos	participaríais	participarían	participarían	
partir	partiendo	partido	parto	partes/partís	parte	parte	partimos	partís	parten	parten	partía	partías	partía	partía	partíamos	partíais	partían	partían	partí	partiste	partió	partió	partimos	partisteis	partieron	partieron	partiré	partirás	partirá	partirá	partiremos	partiréis	partirán	partirán	partiría	partirías	partiría	partiría	partiríamos	partiríais	partirían	partirían	
pasar	pasando	pasado	paso	pasas/pasás	pasa	pasa	pasamos	pasáis	pasan	pasan	pasaba	pasabas	pasaba	pasaba	pasábamos	pasabais	pasaban	pasaban	pasé	pasaste	pasó	pasó	pasamos	pasasteis	pasaron	pasaron	pasaré	pasarás	pasará	pasará	pasaremos	pasaréis	pasarán	pasarán	pasaría	pasarías	pasaría	pasaría	pasaríamos	pasaríais	pasarían	pasarían	
pedir	pidiendo	pedido	pido	pides/pedís	pide	pide	pedimos	pedís	piden	piden	pedía	pedías	pedía	pedía	pedíamos	pedíais	pedían	pedían	pedí	pediste	pidió	pidió	pedimos	pedisteis	pidieron	pidieron	pediré	pedirás	pedirá	pedirá	pediremos	pediréis	pedirán	pedirán	pediría	pedirías	pediría	pediría	pediríamos	pediríais	pedirían	pedirían	
pensar	pensando	pensado	pienso	piensas/pensás	piensa	piensa	pensamos	pensáis	piensan	piensan	pensaba	pensabas	pensaba	pensaba	pensábamos	pensabais	pensaban	pensaban	pensé	pensaste	pensó	pensó	pensamos	pensasteis	pensaron	pensaron	pensaré	pensarás	pensará	pensará	pensaremos	pensaréis	pensarán	pensarán	pensaría	pensarías	pensaría	pensaría	pensaríamos	pensaríais	pensarían	pensarían	
perder	perdiendo	perdido	pierdo	pierdes/perdés	pierde	pierde	perdemos	perdéis	pierden	pierden	perdía	perdías	perdía	perdía	perdíamos	perdíais	perdían	perdían	perdí	perdiste	perdió	perdió	perdimos	perdisteis	perdieron	perdieron	perderé	perderás	perderá	perderá	perderemos	perderéis	perderán	perderán	perdería	perderías	perdería	perdería	perderíamos	perderíais	perderían	perderían	
permanecer	permaneciendo	permanecido	permanezco	permaneces/permanecés	permanece	permanece	permanecemos	permanecéis	permanecen	permanecen	permanecía	permanecías	permanecía	permanecía	permanecíamos	permanecíais	permanecían	permanecían	permanecí	permaneciste	permaneció	permaneció	permanecimos	permanecisteis	permanecieron	permanecieron	permaneceré	permanecerás	permanecerá	permanecerá	permaneceremos	permaneceréis	permanecerán	permanecerán	permanecería	permanecerías	permanecería	permanecería	permaneceríamos	permaneceríais	permanecerían	permanecerían	
permitir	permitiendo	permitido	permito	permites/permitís	permite	permite	permitimos	permitís	permiten	permiten	permitía	permitías	permitía	permitía	permitíamos	permitíais	permitían	permitían	permití	permitiste	permitió	permitió	permitimos	permitisteis	permitieron	permitieron	permitiré	permitirás	permitirá	permitirá	permitiremos	permitiréis	permitirán	permitirán	permitiría	permitirías	permitiría	permitiría	permitiríamos	permitiríais	permitirían	permitirían	
poder	pudiendo	podido	puedo	puedes/podés	puede	puede	podemos	podéis	pueden	pueden	podía	podías	podía	podía	podíamos	podíais	podían	podían	pude	pudiste	pudo	pudo	pudimos	pudisteis	pudieron	pudieron	podré	podrás	podrá	podrá	podremos	podréis	podrán	podrán	podría	podrías	podría	podría	podríamos	podríais	podrían	podrían	
poner	poniendo	puesto	pongo	pones/ponés	pone	pone	ponemos	ponéis	ponen	ponen	ponía	ponías	ponía	ponía	poníamos	poníais	ponían	ponían	puse	pusiste	puso	puso	pusimos	pusisteis	pusieron	pusieron	pondré	pondrás	pondrá	pondrá	pondremos	pondréis	pondrán	pondrán	pondría	pondrías	pondría	pondría	pondríamos	pondríais	pondrían	pondrían	
preguntar	preguntando	preguntado	pregunto	preguntas/preguntás	pregunta	pregunta	preguntamos	preguntáis	preguntan	preguntan	preguntaba	preguntabas	preguntaba	preguntaba	preguntábamos	preguntabais	preguntaban	preguntaban	pregunté	preguntaste	preguntó	preguntó	preguntamos	preguntasteis	preguntaron	preguntaron	preguntaré	preguntarás	preguntará	preguntará	preguntaremos	preguntaréis	preguntarán	preguntarán	preguntaría	preguntarías	preguntaría	preguntaría	preguntaríamos	preguntaríais	preguntarían	preguntarían	
preparar	preparando	preparado	preparo	preparas/preparás	prepara	prepara	preparamos	preparáis	preparan	preparan	preparaba	preparabas	preparaba	preparaba	preparábamos	preparabais	preparaban	preparaban	preparé	preparaste	preparó	preparó	preparamos	preparasteis	prepararon	prepararon	prepararé	prepararás	preparará	preparará	prepararemos	prepararéis	prepararán	prepararán	prepararía	prepararías	prepararía	prepararía	prepararíamos	prepararíais	prepararían	prepararían	
presentar	presentando	presentado	presento	presentas/presentás	presenta	presenta	presentamos	presentáis	presentan	presentan	presentaba	presentabas	presentaba	presentaba	presentábamos	presentabais	presentaban	presentaban	presenté	presentaste	presentó	presentó	presentamos	presentasteis	presentaron	presentaron	presentaré	presentarás	presentará	presentará	presentaremos	presentaréis	presentarán	presentarán	presentaría	presentarías	presentaría	presentaría	presentaríamos	presentaríais	presentarían	presentarían	
preservar	preservando	preservado	preservo	preservas/preservás	preserva	preserva	preservamos	preserváis	preservan	preservan	preservaba	preservabas	preservaba	preservaba	preservábamos	preservabais	preservaban	preservaban	preservé	preservaste	preservó	preservó	preservamos	preservasteis	preservaron	preservaron	preservaré	preservarás	preservará	preservará	preservaremos	preservaréis	preservarán	preservarán	preservaría	preservarías	preservaría	preservaría	preservaríamos	preservaríais	preservarían	preservarían	
prestar	prestando	prestado	presto	prestas/prestás	presta	presta	prestamos	prestáis	prestan	prestan	prestaba	prestabas	prestaba	prestaba	prestábamos	prestabais	prestaban	prestaban	presté	prestaste	prestó	prestó	prestamos	prestasteis	prestaron	prestaron	prestaré	prestarás	prestará	prestará	prestaremos	prestaréis	prestarán	prestarán	prestaría	prestarías	prestaría	prestaría	prestaríamos	prestaríais	prestarían	prestarían	
prevenir	previniendo	prevenido	prevengo	previenes/prevenís	previene	previene	prevenimos	prevenís	previenen	previenen	prevenía	prevenías	prevenía	prevenía	preveníamos	preveníais	prevenían	prevenían	previne	previniste	previno	previno	previnimos	previnisteis	previnieron	previnieron	prevendré	prevendrás	prevendrá	prevendrá	prevendremos	prevendréis	prevendrán	prevendrán	prevendría	prevendrías	prevendría	prevendría	prevendríamos	prevendríais	prevendrían	prevendrían	
probar	probando	probado	pruebo	pruebas/probás	prueba	prueba	probamos	probáis	prueban	prueban	probaba	probabas	probaba	probaba	probábamos	probabais	probaban	probaban	probé	probaste	probó	probó	probamos	probasteis	probaron	probaron	probaré	probarás	probará	probará	probaremos	probaréis	probarán	probarán	probaría	probarías	probaría	probaría	probaríamos	probaríais	probarían	probarían	
producir	produciendo	producido	produzco	produces/producís	produce	produce	producimos	producís	producen	producen	producía	producías	producía	producía	producíamos	producíais	producían	producían	produje	produjiste	produjo	produjo	produjimos	produjisteis	produjeron	produjeron	produciré	producirás	producirá	producirá	produciremos	produciréis	producirán	producirán	produciría	producirías	produciría	produciría	produciríamos	produciríais	producirían	producirían	
promocionar	promocionando	promocionado	promociono	promocionas/promocionás	promociona	promociona	promocionamos	promocionáis	promocionan	promocionan	promocionaba	promocionabas	promocionaba	promocionaba	promocionábamos	promocionabais	promocionaban	promocionaban	promocioné	promocionaste	promocionó	promocionó	promocionamos	promocionasteis	promocionaron	promocionaron	promocionaré	promocionarás	promocionará	promocionará	promocionaremos	promocionaréis	promocionarán	promocionarán	promocionaría	promocionarías	promocionaría	promocionaría	promocionaríamos	promocionaríais	promocionarían	promocionarían	
promover	promoviendo	promovido	promuevo	promueves/promovés	promueve	promueve	promovemos	promovéis	promueven	promueven	promovía	promovías	promovía	promovía	promovíamos	promovíais	promovían	promovían	promoví	promoviste	promovió	promovió	promovimos	promovisteis	promovieron	promovieron	promoveré	promoverás	promoverá	promoverá	promoveremos	promoveréis	promoverán	promoverán	promovería	promoverías	promovería	promovería	promoveríamos	promoveríais	promoverían	promoverían	
proponer	proponiendo	propuesto	propongo	propones/proponés	propone	propone	proponemos	proponéis	proponen	proponen	proponía	proponías	proponía	proponía	proponíamos	proponíais	proponían	proponían	propuse	propusiste	propuso	propuso	propusimos	propusisteis	propusieron	propusieron	propondré	propondrás	propondrá	propondrá	propondremos	propondréis	propondrán	propondrán	propondría	propondrías	propondría	propondría	propondríamos	propondríais	propondrían	propondrían	
proporcionar	proporcionando	proporcionado	proporciono	proporcionas/proporcionás	proporciona	proporciona	proporcionamos	proporcionáis	proporcionan	proporcionan	proporcionaba	proporcionabas	proporcionaba	proporcionaba	proporcionábamos	proporcionabais	proporcionaban	proporcionaban	proporcioné	proporcionaste	proporcionó	proporcionó	proporcionamos	proporcionasteis	proporcionaron	proporcionaron	proporcionaré	proporcionarás	proporcionará	proporcionará	proporcionaremos	proporcionaréis	proporcionarán	proporcionarán	proporcionaría	proporcionarías	proporcionaría	proporcionaría	proporcionaríamos	proporcionaríais	proporcionarían	proporcionarían	
proteger	protegiendo	protegido	protejo	proteges/protegés	protege	protege	protegemos	protegéis	protegen	protegen	protegía	protegías	protegía	protegía	protegíamos	protegíais	protegían	protegían	protegí	protegiste	protegió	protegió	protegimos	protegisteis	protegieron	protegieron	protegeré	protegerás	protegerá	protegerá	protegeremos	protegeréis	protegerán	protegerán	protegería	protegerías	protegería	protegería	protegeríamos	protegeríais	protegerían	protegerían	
proveer	proveyendo	proveído,provisto	proveo	provees/proveés	provee	provee	proveemos	proveéis	proveen	proveen	proveía	proveías	proveía	proveía	proveíamos	proveíais	proveían	proveían	proveí	proveíste	proveyó	proveyó	proveímos	proveísteis	proveyeron	proveyeron	proveeré	proveerás	proveerá	proveerá	proveeremos	proveeréis	proveerán	proveerán	proveería	proveerías	proveería	proveería	proveeríamos	proveeríais	proveerían	proveerían	
publicar	publicando	publicado	publico	publicas/publicás	publica	publica	publicamos	publicáis	publican	publican	publicaba	publicabas	publicaba	publicaba	publicábamos	publicabais	publicaban	publicaban	publiqué	publicaste	publicó	publicó	publicamos	publicasteis	publicaron	publicaron	publicaré	publicarás	publicará	publicará	publicaremos	publicaréis	publicarán	publicarán	publicaría	publicarías	publicaría	publicaría	publicaríamos	publicaríais	publicarían	publicarían	
quedar	quedando	quedado	quedo	quedas/quedás	queda	queda	quedamos	quedáis	quedan	quedan	quedaba	quedabas	quedaba	quedaba	quedábamos	quedabais	quedaban	quedaban	quedé	quedaste	quedó	quedó	quedamos	quedasteis	quedaron	quedaron	quedaré	quedarás	quedará	quedará	quedaremos	quedaréis	quedarán	quedarán	quedaría	quedarías	quedaría	quedaría	quedaríamos	quedaríais	quedarían	quedarían	
realizar	realizando	realizado	realizo	realizas/realizás	realiza	realiza	realizamos	realizáis	realizan	realizan	realizaba	realizabas	realizaba	realizaba	realizábamos	realizabais	realizaban	realizaban	realicé	realizaste	realizó	realizó	realizamos	realizasteis	realizaron	realizaron	realizaré	realizarás	realizará	realizará	realizaremos	realizaréis	realizarán	realizarán	realizaría	realizarías	realizaría	realizaría	realizaríamos	realizaríais	realizarían	realizarían	
recibir	recibiendo	recibido	recibo	recibes/recibís	recibe	recibe	recibimos	recibís	reciben	reciben	recibía	recibías	recibía	recibía	recibíamos	recibíais	recibían	recibían	recibí	recibiste	recibió	recibió	recibimos	recibisteis	recibieron	recibieron	recibiré	recibirás	recibirá	recibirá	recibiremos	recibiréis	recibirán	recibirán	recibiría	recibirías	recibiría	recibiría	recibiríamos	recibiríais	recibirían	recibirían	
recoger	recogiendo	recogido	recojo	recoges/recogés	recoge	recoge	recogemos	recogéis	recogen	recogen	recogía	recogías	recogía	recogía	recogíamos	recogíais	recogían	recogían	recogí	recogiste	recogió	recogió	recogimos	recogisteis	recogieron	recogieron	recogeré	recogerás	recogerá	recogerá	recogeremos	recogeréis	recogerán	recogerán	recogería	recogerías	recogería	recogería	recogeríamos	recogeríais	recogerían	recogerían	
reconocer	reconociendo	reconocido	reconozco	reconoces/reconocés	reconoce	reconoce	reconocemos	reconocéis	reconocen	reconocen	reconocía	reconocías	reconocía	reconocía	reconocíamos	reconocíais	reconocían	reconocían	reconocí	reconociste	reconoció	reconoció	reconocimos	reconocisteis	reconocieron	reconocieron	reconoceré	reconocerás	reconocerá	reconocerá	reconoceremos	reconoceréis	reconocerán	reconocerán	reconocería	reconocerías	reconocería	reconocería	reconoceríamos	reconoceríais	reconocerían	reconocerían	
recordar	recordando	recordado	recuerdo	recuerdas/recordás	recuerda	recuerda	recordamos	recordáis	recuerdan	recuerdan	recordaba	recordabas	recordaba	recordaba	recordábamos	recordabais	recordaban	recordaban	recordé	recordaste	recordó	recordó	recordamos	recordasteis	recordaron	recordaron	recordaré	recordarás	recordará	recordará	recordaremos	recordaréis	recordarán	recordarán	recordaría	recordarías	recordaría	recordaría	recordaríamos	recordaríais	recordarían	recordarían	
recuperar	recuperando	recuperado	recupero	recuperas/recuperás	recupera	recupera	recuperamos	recuperáis	recuperan	recuperan	recuperaba	recuperabas	recuperaba	recuperaba	recuperábamos	recuperabais	recuperaban	recuperaban	recuperé	recuperaste	recuperó	recuperó	recuperamos	recuperasteis	recuperaron	recuperaron	recuperaré	recuperarás	recuperará	recuperará	recuperaremos	recuperaréis	recuperarán	recuperarán	recuperaría	recuperarías	recuperaría	recuperaría	recuperaríamos	recuperaríais	recuperarían	recuperarían	
reducir	reduciendo	reducido	reduzco	reduces/reducís	reduce	reduce	reducimos	reducís	reducen	reducen	reducía	reducías	reducía	reducía	reducíamos	reducíais	reducían	reducían	reduje	redujiste	redujo	redujo	redujimos	redujisteis	redujeron	redujeron	reduciré	reducirás	reducirá	reducirá	reduciremos	reduciréis	reducirán	reducirán	reduciría	reducirías	reduciría	reduciría	reduciríamos	reduciríais	reducirían	reducirían	
reemplazar	reemplazando	reemplazado	reemplazo	reemplazas/reemplazás	reemplaza	reemplaza	reemplazamos	reemplazáis	reemplazan	reemplazan	reemplazaba	reemplazabas	reemplazaba	reemplazaba	reemplazábamos	reemplazabais	reemplazaban	reemplazaban	reemplacé	reemplazaste	reemplazó	reemplazó	reemplazamos	reemplazasteis	reemplazaron	reemplazaron	reemplazaré	reemplazarás	reemplazará	reemplazará	reemplazaremos	reemplazaréis	reemplazarán	reemplazarán	reemplazaría	reemplazarías	reemplazaría	reemplazaría	reemplazaríamos	reemplazaríais	reemplazarían	reemplazarían	
referir	refiriendo	referido	refiero	refieres/referís	refiere	refiere	referimos	referís	refieren	refieren	refería	referías	refería	refería	referíamos	referíais	referían	referían	referí	referiste	refirió	refirió	referimos	referisteis	refirieron	refirieron	referiré	referirás	referirá	referirá	referiremos	referiréis	referirán	referirán	referiría	referirías	referiría	referiría	referiríamos	referiríais	referirían	referirían	
reforzar	reforzando	reforzado	refuerzo	refuerzas/reforzás	refuerza	refuerza	reforzamos	reforzáis	refuerzan	refuerzan	reforzaba	reforzabas	reforzaba	reforzaba	reforzábamos	reforzabais	reforzaban	reforzaban	reforcé	reforzaste	reforzó	reforzó	reforzamos	reforzasteis	reforzaron	reforzaron	reforzaré	reforzarás	reforzará	reforzará	reforzaremos	reforzaréis	reforzarán	reforzarán	reforzaría	reforzarías	reforzaría	reforzaría	reforzaríamos	reforzaríais	reforzarían	reforzarían	
regresar	regresando	regresado	regreso	regresas/regresás	regresa	regresa	regresamos	regresáis	regresan	regresan	regresaba	regresabas	regresaba	regresaba	regresábamos	regresabais	regresaban	regresaban	regresé	regresaste	regresó	regresó	regresamos	regresasteis	regresaron	regresaron	regresaré	regresarás	regresará	regresará	regresaremos	regresaréis	regresarán	regresarán	regresaría	regresarías	regresaría	regresaría	regresaríamos	regresaríais	regresarían	regresarían	
relacionar	relacionando	relacionado	relaciono	relacionas/relacionás	relaciona	relaciona	relacionamos	relacionáis	relacionan	relacionan	relacionaba	relacionabas	relacionaba	relacionaba	relacionábamos	relacionabais	relacionaban	relacionaban	relacioné	relacionaste	relacionó	relacionó	relacionamos	relacionasteis	relacionaron	relacionaron	relacionaré	relacionarás	relacionará	relacionará	relacionaremos	relacionaréis	relacionarán	relacionarán	relacionaría	relacionarías	relacionaría	relacionaría	relacionaríamos	relacionaríais	relacionarían	relacionarían	
representar	representando	representado	represento	representas/representás	representa	representa	representamos	representáis	representan	representan	representaba	representabas	representaba	representaba	representábamos	representabais	representaban	representaban	representé	representaste	representó	representó	representamos	representasteis	representaron	representaron	representaré	representarás	representará	representará	representaremos	representaréis	representarán	representarán	representaría	representarías	representaría	representaría	representaríamos	representaríais	representarían	representarían	
requerir	requiriendo	requerido	requiero	requieres/requerís	requiere	requiere	requerimos	requerís	requieren	requieren	requería	requerías	requería	requería	requeríamos	requeríais	requerían	requerían	requerí	requeriste	requirió	requirió	requerimos	requeristeis	requirieron	requirieron	requeriré	requerirás	requerirá	requerirá	requeriremos	requeriréis	requerirán	requerirán	requeriría	requerirías	requeriría	requeriría	requeriríamos	requeriríais	requerirían	requerirían	
